comments,candidate,cleaned_comments
"will you choose health care , food , jobs over phone purchase cos of",Bawumia,choose health care food job phone purchase co
With a leader like VP,Bawumia,leader like vp
s approach to governance in Ghana is revolutionary. With a focus on,Bawumia,approach governance ghana revolutionary focus
One day you guys would have to make a choice. Is,Bawumia,one day guy would make choice
footsoldiers assume DMB is some demi god biaa you shouldn't even question anything he says. The fundamentals are completely a mess yet they want to use some,Bawumia,footsoldiers assume dmb demi god biaa even question anything say fundamental completely mess yet want use
I want to know what he will do with,Bawumia,want know
"The people want Ghana to be like Abrokyire,",Bawumia,people want ghana like abrokyire
"Kuffuor in power, Rawlings as Vice
 Mills as Finance minister and Mahama as information minister and",Bawumia,kuffuor power rawlings vice mill finance minister mahama information minister
is promising,Bawumia,promising
Now it's expensive to work from home than the office due exorbitant data prices under the watch of Mr,Bawumia,expensive work home office due exorbitant data price watch mr
Students of Savannah College of Education (SaVCoE) went all out throwing their support to Dr. Mahamudu,Bawumia,student savannah college education savcoe went throwing support dr mahamudu
This is what research provide as the issues of Kenya's 24hrEconomy. Read as you tell me which is not addressed by JM'S proposal. I await Sir and help me with what,Bawumia,research provide issue kenya hreconomy read tell addressed jm proposal await sir help
Higher purchase policy..very bold solutions..people thinking outside the box..why is the western countries very good to live at..it's bcos of credit system rating....Gh card is really the ich of the future...,Bawumia,higher purchase policy bold solution people thinking outside box western country good live bcos credit system rating gh card really ich future
Upon all the,Bawumia,upon
"Is Just Lying,Bragging n Deceiving U Guys,",Bawumia,lying bragging deceiving guy
"Propagandist,
 Go n Check The Records,",Bawumia,propagandist go check record
's latest in the,Bawumia,latest
s focus on,Bawumia,focus
". You can bet that the abusers will start abusing the Chief and sneering at DMB but what they forget is the fact that he has succeeded in patenting the """,Bawumia,bet abuser start abusing chief sneering dmb forget fact succeeded patenting
who started that,Bawumia,started
the one in charge of,Bawumia,one charge
"!
 
 God bless Dr.",Bawumia,god bless dr
"get so stupid? Just slap their nonsense """,Bawumia,get stupid slap nonsense
"To Solve Our Basic Problems,
 Now He's Desperate,Confused,Giving More Audio Promises n Only Talking Abt,",Bawumia,solve basic problem desperate confused giving audio promise talking abt
government has pushed for the,Bawumia,government pushed
has promoted financial inclusion through,Bawumia,promoted financial inclusion
cos he's been championing,Bawumia,co championing
is the face of the,Bawumia,face
"is important, but Dr.",Bawumia,important dr
". The vice president has told us that "" he is in charge of",Bawumia,vice president told u charge
". He understands taxing!
 What he's done so far is to tax Ghanaians more. That man knows shit about digital stuff. Fools will keep defending him as if they're wise. They've killed more companies with data, taxes and unfavorable conditions.",Bawumia,understands taxing done far tax ghanaians man know shit digital stuff fool keep defending wise killed company data tax unfavorable condition
is a traitor' hashtag has been trending is because he preaches,Bawumia,traitor hashtag trending preaches
and Ndc. Everyone benefits but right now who is in power and also championing,Bawumia,ndc everyone benefit right power also championing
be common floor member wey no get any position. Now he Dey try get am. A whole sitting vice president. Someone who shoved,Bawumia,common floor member wey get position dey try get whole sitting vice president someone shoved
has been disturbing us with,Bawumia,disturbing u
"in every campaign nonsense he says..
 
 I will give 1 farmer 1 tractor after that, I will introduce digitization there",Bawumia,every campaign nonsense say give farmer tractor introduce digitization
"people, if he(",Bawumia,people
",
 Ghana Card,
 Fshs,
 Medical Drones,
 Credit Phones,
 He's Vision To Help Solve Our Problems But Unless We Vote For Him To Become A President In 2025 Before He Can Use His Vision To Help",Bawumia,ghana card fsh medical drone credit phone vision help solve problem unless vote become president use vision help
is doing the same with us now his answer to every question is,Bawumia,u answer every question
when data sef we are not able to buy,Bawumia,data sef able buy
aims to combat corruption through,Bawumia,aim combat corruption
"I will talk about Free SHS,",Bawumia,talk free shs
agenda is just a ploy to loot more,Bawumia,agenda ploy loot
is an avenue for,Bawumia,avenue
"In Ghana,Online Passport Application n Payment n Ghana Card Was Initiated n Started In 2016,
 So I Still Don't Know Why",Bawumia,ghana online passport application payment ghana card initiated started still know
"In Ghana,Online Passport Application n Payment,Momo Transaction,E-transport n Ghana Card Wasn't Initiated n Started By",Bawumia,ghana online passport application payment momo transaction transport ghana card initiated started
"Is Only Lying n Doing Propaganda With Fshs,Ghana Card n",Bawumia,lying propaganda fsh ghana card
supporter but if I compare jm time and now I think we have really disappointed Ghanaians and I am really sorry for everyone I convinced years ago to vote for,Bawumia,supporter compare jm time think really disappointed ghanaians really sorry everyone convinced year ago vote
is a big joke wen he try talkin about,Bawumia,big joke wen try talkin
government has still managed the cesi depreciation better than the clueless NDC government. We are moving forward to an era of,Bawumia,government still managed cesi depreciation better clueless ndc government moving forward era
. The way he talks on on stage comedians don't even move like that.,Bawumia,way talk stage comedian even move like
"affected their lives positively, eg. free SHS,",Bawumia,affected life positively eg free shs
at Lower Manya Krobo,Bawumia,lower manya krobo
HAVE COMMITTED HAS MADE MAHAMA LOOK LIKE A SAINT. HOWEVER WE CAN PINPOINT WHAT MAHAMA DID IN HIS TENOR. AKUFO ADDO AND HIS COHORTS ARE MORE INTERESTED IN,Bawumia,committed made mahama look like saint however pinpoint mahama tenor akufo addo cohort interested
", not 'Akonfem' era"" –",Bawumia,akonfem era
who built the Accra Digital Centre and the NIA which he's using to champion his,Bawumia,built accra digital centre nia using champion
is going to run our digital department. The whole world is moving towards,Bawumia,going run digital department whole world moving towards
infrastructure built by the,Bawumia,infrastructure built
"era, not 'akonfem' era –",Bawumia,era akonfem era
